Car Make,Car Model,Country,Year,New_Segment,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
Porsche,911,German,2022,Lower Mainstream,3,379,331,4.0,101200
Lamborghini,Huracan,Italian,2021,Premium,5.2,630,443,2.8,274390
Ferrari,488 GTB,Italian,2022,Premium,3.9,661,561,3.0,333750
Audi,R8,German,2022,Mainstream,5.2,562,47376,3.2,142700
McLaren,720S,UK,2021,Premium,4,710,568,2.7,298000
BMW,M8,German,2022,Mainstream,4.4,617,553,3.1,130000
Mercedes-Benz,AMG GT,German,2021,Lower Mainstream,4,523,494,3.8,118500
Chevrolet,Corvette,US,2021,Lower,6.2,490,465,2.8,59900
Ford,Mustang Shelby GT500,US,2022,Lower Mainstream,5.2,760,625,3.5,81000
Nissan,GT-R Nismo,Japan,2021,Upper Mainstream,3.8,600,481,2.5,212000
Aston Martin,DB11,UK,2021,Upper Mainstream,5.2,630,516,3.5,201495
Bugatti,Chiron,France,2021,Exotic,8,1500,118737,2.4,3000000
Dodge,Challenger SRT Hellcat,US,2022,Lower,6.2,717,656,3.5,61000
Jaguar,F-Type,UK,2022,Lower Mainstream,3,296,295,5.4,70100
Koenigsegg,Jesko,Sweden,2021,Exotic,5,1280,173715,2.5,2800000
Lexus,LC 500,Japan,2021,Lower Mainstream,5,471,398,4.4,92950
Lotus,Evora GT,UK,2021,Lower Mainstream,3.5,416,317,3.8,104450
Maserati,GranTurismo,Italian,2021,Mainstream,4.7,454,384,4.8,150000
Porsche,Boxster,German,2021,Lower,2,300,28737,4.7,62000
Alfa Romeo,Giulia Quadrifoglio,Italian,2022,Lower Mainstream,2.9,505,443,3.8,78000
Ariel,Atom,UK,2021,Lower Mainstream,2,320,243,2.8,75000
Bentley,Continental GT,UK,2021,Upper Mainstream,6,626,664,3.6,225000
McLaren,Artura,UK,2022,Upper Mainstream,3,671,531,3.0,225000
Mercedes-AMG,SLS AMG,German,2021,Upper Mainstream,6.2,622,468,3.5,248000
Pagani,Huayra,Italian,2021,Exotic,6,720,737,2.8,2800000
